[2017-07-27 16:45:54]Market: hk Code: 00004 Response:{u'\u878d\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-96.01\u4ebf', u'\u8425\u4e1a\u989d': u'466.27\u4ebf', u'\u8d44\u4ea7\u8d1f\u503a\u7387': u'26.68%', u'\u7ecf\u8425\u6ea2\u5229': u'170.65\u4ebf', u'\u6d41\u52a8\u8d1f\u503a': u'603.28\u4ebf', u'\u7a0e\u524d\u6ea2\u5229': u'257.72\u4ebf', u'\u6bcf\u80a1\u76c8\u5229': u'7.07\u5143', u'\u51c0\u8d44\u4ea7\u6536\u76ca\u7387(ROE)': u'6.87%', u'\u6d41\u52a8\u8d44\u4ea7': u'--', u'\u8d44\u4ea7\u56de\u62a5\u7387(ROA)': u'0.05%', u'\u603b\u8d1f\u503a': u'1184.21\u4ebf', u'\u80a1\u4e1c\u6743\u76ca': u'3167.94\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229': u'214.40\u4ebf', u'\u6295\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-24.78\u4ebf', u'\u6bcf\u80a1\u6536\u76ca': u'7.07\u5143', u'\u6bcf\u80a1\u51c0\u8d44\u4ea7': u'104.48\u5143', u'\u603b\u8d44\u4ea7': u'4438.27\u4ebf', u'\u7ecf\u8425\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'323.71\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229\u589e\u957f': u'--'}
[2017-07-27 16:45:54]Market: hk Code: 00099 Response:{u'\u878d\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'9.33\u4ebf', u'\u8425\u4e1a\u989d': u'35.29\u4ebf', u'\u8d44\u4ea7\u8d1f\u503a\u7387': u'52.67%', u'\u7ecf\u8425\u6ea2\u5229': u'3.67\u4ebf', u'\u6d41\u52a8\u8d1f\u503a': u'19.15\u4ebf', u'\u7a0e\u524d\u6ea2\u5229': u'5.18\u4ebf', u'\u6bcf\u80a1\u76c8\u5229': u'0.98\u5143', u'\u51c0\u8d44\u4ea7\u6536\u76ca\u7387(ROE)': u'16.66%', u'\u6d41\u52a8\u8d44\u4ea7': u'--', u'\u8d44\u4ea7\u56de\u62a5\u7387(ROA)': u'0.07%', u'\u603b\u8d1f\u503a': u'33.22\u4ebf', u'\u80a1\u4e1c\u6743\u76ca': u'29.85\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229': u'4.68\u4ebf', u'\u6295\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-12.40\u4ebf', u'\u6bcf\u80a1\u6536\u76ca': u'0.98\u5143', u'\u6bcf\u80a1\u51c0\u8d44\u4ea7': u'6.24\u5143', u'\u603b\u8d44\u4ea7': u'63.08\u4ebf', u'\u7ecf\u8425\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'1.98\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229\u589e\u957f': u'--'}
[2017-07-27 16:45:54]Market: hk Code: 00021 Response:{u'\u878d\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'1.40\u4ebf', u'\u8425\u4e1a\u989d': u'0.33\u4ebf', u'\u8d44\u4ea7\u8d1f\u503a\u7387': u'48.84%', u'\u7ecf\u8425\u6ea2\u5229': u'-0.04\u4ebf', u'\u6d41\u52a8\u8d1f\u503a': u'7.17\u4ebf', u'\u7a0e\u524d\u6ea2\u5229': u'-0.04\u4ebf', u'\u6bcf\u80a1\u76c8\u5229': u'-0.00\u5143', u'\u51c0\u8d44\u4ea7\u6536\u76ca\u7387(ROE)': u'-0.36%', u'\u6d41\u52a8\u8d44\u4ea7': u'--', u'\u8d44\u4ea7\u56de\u62a5\u7387(ROA)': u'-0.00%', u'\u603b\u8d1f\u503a': u'8.88\u4ebf', u'\u80a1\u4e1c\u6743\u76ca': u'9.30\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229': u'-0.03\u4ebf', u'\u6295\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-0.35\u4ebf', u'\u6bcf\u80a1\u6536\u76ca': u'-0.00\u5143', u'\u6bcf\u80a1\u51c0\u8d44\u4ea7': u'0.28\u5143', u'\u603b\u8d44\u4ea7': u'18.18\u4ebf', u'\u7ecf\u8425\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-0.99\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229\u589e\u957f': u'--'}
[2017-07-27 16:45:54]Market: hk Code: 00005 Response:{u'\u878d\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'2.39\u4ebf', u'\u8425\u4e1a\u989d': u'--', u'\u8d44\u4ea7\u8d1f\u503a\u7387': u'92.31%', u'\u7ecf\u8425\u6ea2\u5229': u'47.58\u4ebf', u'\u6d41\u52a8\u8d1f\u503a': u'14294.68\u4ebf', u'\u7a0e\u524d\u6ea2\u5229': u'71.12\u4ebf', u'\u6bcf\u80a1\u76c8\u5229': u'0.07\u5143', u'\u51c0\u8d44\u4ea7\u6536\u76ca\u7387(ROE)': u'1.36%', u'\u6d41\u52a8\u8d44\u4ea7': u'--', u'\u8d44\u4ea7\u56de\u62a5\u7387(ROA)': u'0.00%', u'\u603b\u8d1f\u503a': u'14294.68\u4ebf', u'\u80a1\u4e1c\u6743\u76ca': u'1753.86\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229': u'24.79\u4ebf', u'\u6295\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-150.60\u4ebf', u'\u6bcf\u80a1\u6536\u76ca': u'0.49\u5143', u'\u6bcf\u80a1\u51c0\u8d44\u4ea7': u'60.26\u5143', u'\u603b\u8d44\u4ea7': u'23749.86\u4ebf', u'\u7ecf\u8425\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'722.23\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229\u589e\u957f': u'--'}
[2017-07-27 16:45:54]Market: hk Code: 00002 Response:{u'\u878d\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-44.58\u4ebf', u'\u8425\u4e1a\u989d': u'794.34\u4ebf', u'\u8d44\u4ea7\u8d1f\u503a\u7387': u'48.65%', u'\u7ecf\u8425\u6ea2\u5229': u'171.46\u4ebf', u'\u6d41\u52a8\u8d1f\u503a': u'373.40\u4ebf', u'\u7a0e\u524d\u6ea2\u5229': u'166.63\u4ebf', u'\u6bcf\u80a1\u76c8\u5229': u'5.03\u5143', u'\u51c0\u8d44\u4ea7\u6536\u76ca\u7387(ROE)': u'13.30%', u'\u6d41\u52a8\u8d44\u4ea7': u'--', u'\u8d44\u4ea7\u56de\u62a5\u7387(ROA)': u'0.06%', u'\u603b\u8d1f\u503a': u'1002.05\u4ebf', u'\u80a1\u4e1c\u6743\u76ca': u'980.10\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229': u'127.11\u4ebf', u'\u6295\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-100.19\u4ebf', u'\u6bcf\u80a1\u6536\u76ca': u'5.03\u5143', u'\u6bcf\u80a1\u51c0\u8d44\u4ea7': u'38.79\u5143', u'\u603b\u8d44\u4ea7': u'2059.78\u4ebf', u'\u7ecf\u8425\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'253.53\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229\u589e\u957f': u'--'}
[2017-07-27 16:45:54]Market: hk Code: 00073 Response:{u'\u878d\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-0.00\u4ebf', u'\u8425\u4e1a\u989d': u'9.63\u4ebf', u'\u8d44\u4ea7\u8d1f\u503a\u7387': u'--', u'\u7ecf\u8425\u6ea2\u5229': u'-12.24\u4ebf', u'\u6d41\u52a8\u8d1f\u503a': u'1.39\u4ebf', u'\u7a0e\u524d\u6ea2\u5229': u'-12.24\u4ebf', u'\u6bcf\u80a1\u76c8\u5229': u'-0.98\u5143', u'\u51c0\u8d44\u4ea7\u6536\u76ca\u7387(ROE)': u'--', u'\u6d41\u52a8\u8d44\u4ea7': u'--', u'\u8d44\u4ea7\u56de\u62a5\u7387(ROA)': u'-0.23%', u'\u603b\u8d1f\u503a': u'1.39\u4ebf', u'\u80a1\u4e1c\u6743\u76ca': u'50.22\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229': u'-12.22\u4ebf', u'\u6295\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-3.94\u4ebf', u'\u6bcf\u80a1\u6536\u76ca': u'--', u'\u6bcf\u80a1\u51c0\u8d44\u4ea7': u'--', u'\u603b\u8d44\u4ea7': u'52.75\u4ebf', u'\u7ecf\u8425\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-5.02\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229\u589e\u957f': u'--'}
[2017-07-27 16:45:54]Market: hk Code: 00001 Response:{u'\u878d\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'291.53\u4ebf', u'\u8425\u4e1a\u989d': u'2598.42\u4ebf', u'\u8d44\u4ea7\u8d1f\u503a\u7387': u'46.30%', u'\u7ecf\u8425\u6ea2\u5229': u'401.01\u4ebf', u'\u6d41\u52a8\u8d1f\u503a': u'1573.12\u4ebf', u'\u7a0e\u524d\u6ea2\u5229': u'464.63\u4ebf', u'\u6bcf\u80a1\u76c8\u5229': u'8.55\u5143', u'\u51c0\u8d44\u4ea7\u6536\u76ca\u7387(ROE)': u'--', u'\u6d41\u52a8\u8d44\u4ea7': u'--', u'\u8d44\u4ea7\u56de\u62a5\u7387(ROA)': u'0.03%', u'\u603b\u8d1f\u503a': u'4692.75\u4ebf', u'\u80a1\u4e1c\u6743\u76ca': u'3941.69\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229': u'330.08\u4ebf', u'\u6295\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-180.27\u4ebf', u'\u6bcf\u80a1\u6536\u76ca': u'59.31\u5143', u'\u6bcf\u80a1\u51c0\u8d44\u4ea7': u'763.67\u5143', u'\u603b\u8d44\u4ea7': u'10134.65\u4ebf', u'\u7ecf\u8425\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'620.51\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229\u589e\u957f': u'--'}
[2017-07-27 16:45:54]Market: hk Code: 00024 Response:{u'\u878d\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-1.96\u4ebf', u'\u8425\u4e1a\u989d': u'26.85\u4ebf', u'\u8d44\u4ea7\u8d1f\u503a\u7387': u'45.55%', u'\u7ecf\u8425\u6ea2\u5229': u'-1.28\u4ebf', u'\u6d41\u52a8\u8d1f\u503a': u'7.18\u4ebf', u'\u7a0e\u524d\u6ea2\u5229': u'-2.23\u4ebf', u'\u6bcf\u80a1\u76c8\u5229': u'-0.04\u5143', u'\u51c0\u8d44\u4ea7\u6536\u76ca\u7387(ROE)': u'-18.76%', u'\u6d41\u52a8\u8d44\u4ea7': u'--', u'\u8d44\u4ea7\u56de\u62a5\u7387(ROA)': u'-0.12%', u'\u603b\u8d1f\u503a': u'7.81\u4ebf', u'\u80a1\u4e1c\u6743\u76ca': u'9.61\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229': u'-2.08\u4ebf', u'\u6295\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-0.11\u4ebf', u'\u6bcf\u80a1\u6536\u76ca': u'-0.04\u5143', u'\u6bcf\u80a1\u51c0\u8d44\u4ea7': u'0.19\u5143', u'\u603b\u8d44\u4ea7': u'17.14\u4ebf', u'\u7ecf\u8425\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-0.49\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229\u589e\u957f': u'--'}
[2017-07-27 16:45:54]Market: hk Code: 00019 Response:{u'\u878d\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'15.76\u4ebf', u'\u8425\u4e1a\u989d': u'623.89\u4ebf', u'\u8d44\u4ea7\u8d1f\u503a\u7387': u'27.13%', u'\u7ecf\u8425\u6ea2\u5229': u'153.84\u4ebf', u'\u6d41\u52a8\u8d1f\u503a': u'261.47\u4ebf', u'\u7a0e\u524d\u6ea2\u5229': u'157.48\u4ebf', u'\u6bcf\u80a1\u76c8\u5229': u'6.41\u5143', u'\u51c0\u8d44\u4ea7\u6536\u76ca\u7387(ROE)': u'4.35%', u'\u6d41\u52a8\u8d44\u4ea7': u'--', u'\u8d44\u4ea7\u56de\u62a5\u7387(ROA)': u'0.03%', u'\u603b\u8d1f\u503a': u'1013.30\u4ebf', u'\u80a1\u4e1c\u6743\u76ca': u'2248.79\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229': u'96.44\u4ebf', u'\u6295\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-103.59\u4ebf', u'\u6bcf\u80a1\u6536\u76ca': u'6.41\u5143', u'\u6bcf\u80a1\u51c0\u8d44\u4ea7': u'248.43\u5143', u'\u603b\u8d44\u4ea7': u'3734.98\u4ebf', u'\u7ecf\u8425\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'148.64\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229\u589e\u957f': u'--'}
[2017-07-27 16:45:54]Market: hk Code: 00045 Response:{u'\u878d\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'27.63\u4ebf', u'\u8425\u4e1a\u989d': u'56.31\u4ebf', u'\u8d44\u4ea7\u8d1f\u503a\u7387': u'20.27%', u'\u7ecf\u8425\u6ea2\u5229': u'8.24\u4ebf', u'\u6d41\u52a8\u8d1f\u503a': u'13.94\u4ebf', u'\u7a0e\u524d\u6ea2\u5229': u'7.52\u4ebf', u'\u6bcf\u80a1\u76c8\u5229': u'0.43\u5143', u'\u51c0\u8d44\u4ea7\u6536\u76ca\u7387(ROE)': u'1.85%', u'\u6d41\u52a8\u8d44\u4ea7': u'--', u'\u8d44\u4ea7\u56de\u62a5\u7387(ROA)': u'0.01%', u'\u603b\u8d1f\u503a': u'92.96\u4ebf', u'\u80a1\u4e1c\u6743\u76ca': u'363.59\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229': u'6.75\u4ebf', u'\u6295\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-25.22\u4ebf', u'\u6bcf\u80a1\u6536\u76ca': u'0.43\u5143', u'\u6bcf\u80a1\u51c0\u8d44\u4ea7': u'23.21\u5143', u'\u603b\u8d44\u4ea7': u'458.70\u4ebf', u'\u7ecf\u8425\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'13.12\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229\u589e\u957f': u'--'}
[2017-07-27 16:45:54]Market: hk Code: 00076 Response:{u'\u878d\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'0.25\u4ebf', u'\u8425\u4e1a\u989d': u'0.63\u4ebf', u'\u8d44\u4ea7\u8d1f\u503a\u7387': u'28.19%', u'\u7ecf\u8425\u6ea2\u5229': u'-0.32\u4ebf', u'\u6d41\u52a8\u8d1f\u503a': u'1.33\u4ebf', u'\u7a0e\u524d\u6ea2\u5229': u'-0.32\u4ebf', u'\u6bcf\u80a1\u76c8\u5229': u'-0.01\u5143', u'\u51c0\u8d44\u4ea7\u6536\u76ca\u7387(ROE)': u'-9.02%', u'\u6d41\u52a8\u8d44\u4ea7': u'--', u'\u8d44\u4ea7\u56de\u62a5\u7387(ROA)': u'-0.07%', u'\u603b\u8d1f\u503a': u'1.36\u4ebf', u'\u80a1\u4e1c\u6743\u76ca': u'3.44\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229': u'-0.32\u4ebf', u'\u6295\u8d44\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-0.10\u4ebf', u'\u6bcf\u80a1\u6536\u76ca': u'-0.10\u5143', u'\u6bcf\u80a1\u51c0\u8d44\u4ea7': u'0.76\u5143', u'\u603b\u8d44\u4ea7': u'4.82\u4ebf', u'\u7ecf\u8425\u6d3b\u52a8\u73b0\u91d1\u6d41\u91cf': u'-0.19\u4ebf', u'\u80a1\u4e1c\u5e94\u5360\u6ea2\u5229\u589e\u957f': u'--'}
